Time,Force,EMG,
0,92.91368,0.08100661,
0.001,92.82211,0.08100661,
0.002,92.73053,0.08100661,
0.003,92.63896,0.08100661,
0.004,92.51686,0.08100661,
0.005,92.45581,0.08100661,
0.006,92.33371,0.08100661,
0.007,92.24213,0.08100661,
0.008,92.15056,0.08100661,
0.009,92.08951,0.08100661,
0.01,91.99793,0.08100661,
0.011,91.93688,0.08100661,
0.012,91.84531,0.08100661,
0.013,91.72321,0.08100661,
0.014,91.63163,0.08100661,
0.015,91.54006,0.08100661,
0.016,91.44848,0.08100661,
0.017,91.35691,0.08100661,
0.018,91.26533,0.08100661,
0.019,91.17376,0.08100661,
0.02,91.11271,0.08100661,
0.021,91.02113,0.08100661,
0.022,90.96008,0.08100661,
0.023,90.86851,0.08100661,
0.024,90.80746,0.08100661,
0.025,90.77693,0.08100661,
0.026,90.71588,0.08100661,
0.027,90.68536,0.08100661,
0.028,90.62431,0.08100661,
0.029,90.56326,0.08100661,
0.03,90.50221,0.08100661,
0.031,90.44116,0.08100661,
0.032,90.38011,0.08097357,
0.033,90.34958,0.08097357,
0.034,90.28853,0.08097357,
0.035,90.22748,0.08097357,
0.036,90.16643,0.08097357,
0.037,90.13591,0.08097357,
0.038,90.07486,0.08097357,
0.039,90.01381,0.08097357,
0.04,89.95276,0.08097357,
0.041,89.89171,0.08097357,
0.042,89.83066,0.08097357,
0.043,89.76961,0.08097357,
0.044,89.70856,0.08097357,
0.045,89.61698,0.08097357,
0.046,89.55593,0.08097357,
0.047,89.49488,0.08097357,
0.048,89.43383,0.08097357,
0.049,89.37278,0.08097357,
0.05,89.34226,0.08097357,
0.051,89.28121,0.08097357,
0.052,89.25068,0.08097357,
0.053,89.18963,0.08097357,
0.054,89.15911,0.08097357,
0.055,89.12858,0.08097357,
0.056,89.06753,0.08097357,
0.057,89.03701,0.08097357,
0.058,89.00648,0.08097357,
0.059,88.97596,0.08097357,
0.06,88.91491,0.08097357,
0.061,88.91491,0.08097357,
0.062,88.85386,0.08097357,
0.063,88.82333,0.08097367,
0.064,88.76228,0.08097376,
0.065,88.70123,0.08097376,
0.066,88.64018,0.08097386,
0.067,88.54861,0.08097386,
